Year,Country,Artist,Title,Place F,Points F,Place SF1,Points SF1,Place SF2,Points SF2
2005,Latvia,Walter & Kazha,The War Is Not Over,5,153,10,85,,
2005,Lithuania,Laura and the Lovers,Little By Little,,,25,17,,
2005,Malta,Chiara,Angel,2,192,,,,
2005,Moldova,Zdob si Zdub,Boonika Bate Toba,6,148,2,207,,
2005,Monaco,Lise Darly,Tout De Moi,,,24,22,,
2005,Netherlands,Glennis Grace,My Impossible Dream,,,14,53,,
2005,North Macedonia,Martin Vucic,Make My Day,17,52,9,97,,
2005,Norway,Wig Wam,In My Dreams,9,125,6,164,,
2005,Poland,Ivan & Delfin,Czarna Dziewczyna,,,11,81,,
2005,Portugal,2B,Amar,,,17,51,,
2005,Romania,Luminita Anghel & Sistem,Let Me Try,3,158,1,235,,
2005,Russia,Natalia Podolskaya,Nobody Hurt No One,15,57,,,,
2005,Serbia & Montenegro,No Name,Zauvijek Moja,7,137,,,,
2005,Slovenia,Omar Naber,Stop,,,12,69,,
2005,Spain,Son de sol,Brujeria,21,28,,,,
2005,Sweden,Martin Stenmarck,Las Vegas,19,30,,,,
2005,Switzerland,Vanilla Ninja,Cool Vibes,8,128,8,114,,
2005,Turkey,Gulseren,Rimi Rimi Ley,13,92,,,,
2005,Ukraine,Greenjolly,Razom Nas Bahato,19,30,,,,
2005,United Kingdom,Javine,Touch My Fire,22,18,,,,
2006,Albania,Luiz Ejlli,Zjarr E Ftohte,,,14,58,,
2006,Andorra,Jennifer,Sense Tu,,,23,8,,
2006,Armenia,Andre,Without Your Love,8,129,6,150,,
2006,Belarus,Polina Smolova,Mum,,,22,10,,
2006,Belgium,Kate Ryan,Je T'adore,,,12,69,,
2006,Bosnia & Herzegovina,Hari Mata Hari,Lejla,3,229,2,267,,
2006,Bulgaria,Mariana Popova,Let Me Cry,,,17,36,,
2006,Croatia,Severina,Moja Stikla,12,56,,,,
2006,Cyprus,Annet Artani,Why Angels Cry,,,15,57,,
2006,Denmark,Sidsel Ben Semmane,Twist Of Love,18,26,,,,
2006,Estonia,Sandra,Through My Window,,,18,28,,
2006,Finland,Lordi,Hard Rock Hallelujah,1,292,1,292,,
2006,France,Virginie Pouchin,Il etait Temps,22,5,,,,
2006,Germany,Texas Lightning,"No, No, Never",14,36,,,,
2006,Greece,Anna Vissi,Everything,9,128,,,,
2006,Iceland,Silvia Night,Congratulations,,,13,62,,
2006,Ireland,Brian Kennedy,Every Song Is A Cry For Love,10,93,9,79,,
2006,Israel,Eddie Butler,Ze Hazman,23,4,,,,
2006,Latvia,Cosmos,I Hear Your Heart,16,30,,,,
2006,Lithuania,LT United,We Are The Winners,6,162,5,163,,
2006,Malta,Fabrizio Faniello,I Do,24,1,,,,
2006,Moldova,Arsenium & Natalia Gordienko,Loca,20,22,,,,
2006,Monaco,Severine Ferrer,La Coco-dance,,,21,14,,
2006,Netherlands,Treble,Amambanda,,,20,22,,
2006,North Macedonia,Elena Risteska,Ninanajna,12,56,10,76,,
2006,Norway,Christine Guldbrandsen,Alvedansen,14,36,,,,
2006,Poland,Ich Troje,Follow My Heart,,,11,70,,
2006,Portugal,Nonstop,Coisas De Nada,,,19,26,,
2006,Romania,Mihai Traistariu,Tornero,4,172,,,,
2006,Russia,Dima Bilan,Never Let You Go,2,248,3,217,,
2006,Slovenia,Anzej Dezan,Mr. Nobody,,,16,49,,
2006,Spain,Las Ketchup,Bloody Mary,21,18,,,,
2006,Sweden,Carola,Invincible,5,170,4,214,,
2006,Switzerland,Six4One,If We All Give A Little,16,30,,,,
2006,Turkey,Sibel Tuzun,Superstar,11,91,8,91,,
2006,Ukraine,Tina Karol,Show Me Your Love,7,145,7,146,,
2006,United Kingdom,Daz Sampson,Teenage Life,19,25,,,,
2007,Albania,Aida & Frederik Ndoci,Hear My Plea,,,17,49,,
2007,Andorra,Anonymous,Salvem El Mon,,,12,80,,
2007,Armenia,Hayko,Anytime You Need,8,138,,,,
2007,Austria,Eric Papilaya,Get A Life - Get Alive,,,27,4,,
2007,Belarus,Dmitry Koldun,Work Your Magic,6,145,4,176,,
2007,Belgium,The KMG's,Love Power,,,26,14,,
2007,Bosnia & Herzegovina,Marija Sestic,Rijeka Bez Imena,11,106,,,,
2007,Bulgaria,Elitsa Todorova & Stoyan Yankulov,Water,5,157,6,146,,
2007,Croatia,Dragonfly feat. Dado Topic,Vjerujem U Ljubav,,,16,54,,
2007,Cyprus,Evridiki,"Comme Ci, Comme ca",,,15,65,,
2007,Czech Republic,Kabat,Mala Dama,,,28,1,,
2007,Denmark,DQ,Drama Queen,,,19,45,,
2007,Estonia,Gerli Padar,Partners In Crime,,,22,33,,
2007,Finland,Hanna Pakarinen,Leave Me Alone,17,53,,,,
2007,France,Les Fatals Picards,L'amour a La Francaise,22,19,,,,
2007,Georgia,Sopho,My Story,12,97,8,123,,
2007,Germany,Roger Cicero,Frauen Regieren Die Welt,19,49,,,,
2007,Greece,Sarbel,Yassou Maria,7,139,,,,
2007,Hungary,Magdi Ruzsa,Unsubstantial Blues,9,128,2,224,,
2007,Iceland,Eirikur Hauksson,Valentine Lost,,,13,77,,
2007,Ireland,Dervish,They Can't Stop The Spring,24,5,,,,
2007,Israel,Teapacks,Push The Button,,,24,17,,
2007,Latvia,Bonaparti.lv,Questa Notte,16,54,5,168,,
2007,Lithuania,4Fun,Love Or Leave,21,28,,,,
2007,Malta,Olivia Lewis,Vertigo,,,25,15,,
2007,Moldova,Natalia Barbu,Fight,10,109,10,91,,
2007,Montenegro,Stevan Faddy,Ajde Kroci,,,22,33,,
2007,Netherlands,Edsilia Rombley,On Top Of The World,,,21,38,,
2007,North Macedonia,Karolina,Mojot Svet,14,73,9,97,,
2007,Norway,Guri Schanke,Ven A Bailar Conmigo,,,18,48,,
2007,Poland,The Jet Set,Time To Party,,,14,75,,
2007,Portugal,Sabrina,Danca Comigo (vem Ser Feliz),,,11,88,,
2007,Romania,Todomondo,"Liubi, Liubi, I Love You",13,84,,,,
2007,Russia,Serebro,Song # 1,3,207,,,,
2007,Serbia,Marija Serifovic,Molitva,1,268,1,298,,
2007,Slovenia,Alenka Gotar,Cvet Z Juga,15,66,7,140,,
2007,Spain,NASH,I Love You Mi Vida,20,43,,,,
2007,Sweden,The Ark,The Worrying Kind,18,51,,,,
2007,Switzerland,DJ BoBo,Vampires Are Alive,,,20,40,,
2007,Turkey,Kenan Dogulu,Shake It Up Shekerim,4,163,3,197,,
2007,Ukraine,Verka Serduchka,Dancing Lasha Tumbai,2,235,,,,
2007,United Kingdom,Scooch,Flying The Flag (for You),22,19,,,,
2008,Albania,Olta Boka,Zemren E Lame Peng,17,55,,,9,67
2008,Andorra,Gisela,Casanova,,,16,22,,
2008,Armenia,Sirusho,"Qele, Qele",4,199,2,139,,
2008,Azerbaijan,Elnur & Samir,Day After Day,8,132,6,96,,
2008,Belarus,Ruslan Alehno,Hasta La Vista,,,,,17,27
2008,Belgium,Ishtar,O Julissi,,,17,16,,
2008,Bosnia & Herzegovina,Laka,Pokusaj,10,110,9,72,,
2008,Bulgaria,Deep Zone & Balthazar,"DJ, Take Me Away",,,,,12,56
2008,Croatia,Kraljevi Ulice & 75 Cents,Romanca,21,44,,,4,112
2008,Cyprus,Evdokia Kadi,Femme Fatale,,,,,15,36
2008,Czech Republic,Tereza Kerndlova,Have Some Fun,,,,,18,9
2008,Denmark,Simon Mathew,All Night Long,15,60,,,3,112
2008,Estonia,Kreisiraadio,Leto Svet,,,18,8,,
2008,Finland,Terasbetoni,Missa Miehet Ratsastaa,22,35,8,79,,
2008,France,Sebastien Tellier,Divine,19,47,,,,
2008,Georgia,Diana Gurtskaya,Peace Will Come,11,83,,,5,107
2008,Germany,No Angels,Disappear,23,14,,,,
2008,Greece,Kalomira,Secret Combination,3,218,1,156,,
2008,Hungary,Csezy,Candlelight,,,,,19,6
2008,Iceland,Euroband,This Is My Life,14,64,,,8,68
2008,Ireland,Dustin the Turkey,Irelande Douze Pointe,,,15,22,,
2008,Israel,Boaz,The Fire In Your Eyes,9,124,5,104,,
2008,Latvia,Pirates Of The Sea,Wolves Of The Sea,12,83,,,6,86
2008,Lithuania,Jeronimas Milius,Nomads In The Night,,,,,16,30
2008,Malta,Morena,Vodka,,,,,14,38
2008,Moldova,Geta Burlacu,A Century Of Love,,,12,36,,
2008,Montenegro,Stefan Filipovic,Zauvijek Volim Te,,,14,23,,
2008,Netherlands,Hind,Your Heart Belongs To Me,,,13,27,,
2008,North Macedonia,"Tamara, Vrcak & Adrijan",Let Me Love You,,,,,11,64
2008,Norway,Maria,Hold On Be Strong,5,182,4,106,,
2008,Poland,Isis Gee,For Life,24,14,10,42,,
2008,Portugal,Vania Fernandes,Senhora Do Mar (Negras Aguas),13,69,,,2,120
2008,Romania,Nico & Vlad,Pe-o Margine De Lume,20,45,7,94,,
2008,Russia,Dima Bilan,Believe,1,272,3,135,,
2008,San Marino,Miodio,Complice,,,19,5,,
2008,Serbia,Jelena Tomasevic feat. Bora Dugic,Oro,6,160,,,,
2008,Slovenia,Rebeka Dremelj,Vrag Naj Vzame,,,11,36,,
2008,Spain,Rodolfo Chikilicuatre,Baila El Chiki Chiki,16,55,,,,
2008,Sweden,Charlotte Perrelli,Hero,18,47,,,10,54
2008,Switzerland,Paolo Meneguzzi,Era Stupendo,,,,,13,47
2008,Turkey,Mor ve Otesi,Deli,7,138,,,7,85
2008,Ukraine,Ani Lorak,Shady Lady,2,230,,,1,152
2008,United Kingdom,Andy Abraham,Even IF,25,14,,,,
2009,Albania,Kejsi Tola,Carry Me In Your Dreams,17,48,,,7,73
2009,Andorra,Susanne Georgi,La Teva Decisio (Get A Life),,,15,8,,
2009,Armenia,Inga & Anush,Jan Jan,10,92,5,99,,
2009,Azerbaijan,AySel & Arash,Always,3,207,,,2,180
2009,Belarus,Petr Elfimov,Eyes That Never Lie,,,13,25,,
2009,Belgium,Copycat,Copycat,,,17,1,,
2009,Bosnia & Herzegovina,Regina,Bistra Voda,9,106,3,125,,
2009,Bulgaria,Krassimir Avramov,Illusion,,,16,7,,
2009,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,18,45,,,13,33
2009,Cyprus,Christina Metaxa,Firefly,,,,,14,32
2009,Czech Republic,Gipsy.cz,Aven Romale,,,18,0,,
2009,Denmark,Brinck,Believe Again,13,74,,,8,69
2009,Estonia,Urban Symphony,Randajad,6,129,,,3,115
2009,Finland,Waldo's People,Lose Control,25,22,12,42,,
2009,France,Patricia Kaas,Et S'il Fallait Le Faire,8,107,,,,
2009,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,20,35,,,,
2009,Greece,Sakis Rouvas,This Is Our Night,7,120,,,4,110
2009,Hungary,Zoli Adok,Dance With Me,,,,,15,16
2009,Iceland,Yohanna,Is It True?,2,218,1,174,,
2009,Ireland,Sinead Mulvey & Black Daisy,Et Cetera,,,,,11,52
2009,Israel,Noa & Mira Awad,There Must Be Another Way,16,53,7,75,,
2009,Latvia,Intars Busulis,Probka,,,,,19,7
2009,Lithuania,Sasha Son,Love,23,23,,,9,66
2009,Malta,Chiara,What If We,22,31,6,86,,
2009,Moldova,Nelly Ciobanu,Hora Din Moldova,14,69,,,5,106
2009,Montenegro,Andrea Demirovic,Just Get Out of My Life,,,11,44,,
2009,Netherlands,The Toppers,Shine,,,,,17,11
2009,North Macedonia,Next Time,Neshto Shto Ke Ostane,,,10,45,,
2009,Norway,Alexander Rybak,Fairytale,1,387,,,1,201
2009,Poland,Lidia Kopania,I Don't Wanna Leave,,,,,12,43
2009,Portugal,Flor-de-lis,Todas As Ruas Do Amor,15,57,8,70,,
2009,Romania,Elena,The Balkan Girls,19,40,9,67,,
2009,Russia,Anastasia Prikhodko,Mamo,11,91,,,,
2009,Serbia,Marko Kon & Milaan,Cipela,,,,,10,60
2009,Slovakia,Kamil Mikulcik & Nela Pociskova,Let Tmou,,,,,18,8
2009,Slovenia,Quartissimo feat. Martina,Love Symphony,,,,,16,14
2009,Spain,Soraya,La Noche Es Para Mi (The Night Is For Me),23,23,,,,
2009,Sweden,Malena Ernman,La Voix,21,33,4,105,,
2009,Switzerland,Lovebugs,The Highest Heights,,,14,15,,
2009,Turkey,Hadise,Dum Tek Tek,4,177,2,172,,
2009,Ukraine,Svetlana Loboda,Be my Valentine! (Anti-crisis Girl),12,76,,,6,80
2009,United Kingdom,Jade Ewen,It's My Time,5,173,,,,
2010,Albania,Juliana Pasha,It's All About You,16,62,6,76,,
2010,Armenia,Eva Rivas,Apricot Stone,7,141,,,6,83
2010,Azerbaijan,Safura,Drip Drop,5,145,,,2,113
2010,Belarus,3+2,Butterflies,24,18,9,59,,
2010,Belgium,Tom Dice,Me And My Guitar,6,143,1,167,,
2010,Bosnia & Herzegovina,Vukasin Brajic,Thunder And Lightning,17,51,8,59,,
2010,Bulgaria,Miro,Angel Si Ti,,,,,15,19
2010,Croatia,Feminnem,Lako Je Sve,,,,,13,33
2010,Cyprus,Jon Lilygreen & The Islanders,Life Looks Better In Spring,21,27,,,10,67
2010,Denmark,Chanee & N'evergreen,In A Moment Like This,4,149,,,5,101
2010,Estonia,Malcolm Lincoln,Siren,,,14,39,,
2010,Finland,Kuunkuiskaajat,Tyolki Ellaa,,,11,49,,
2010,France,Jessy Matador,Alllez Olla Ole,12,82,,,,
2010,Georgia,Sofia Nizharadze,Shine,9,136,,,3,106
2010,Germany,Lena,Satellite,1,246,,,,
2010,Greece,Giorgos Alkaios & Friends,OPA,8,140,2,133,,
2010,Iceland,Hera Bjork,Je Ne Sais Quoi,19,41,3,123,,
2010,Ireland,Niamh Kavanagh,It's For You,23,25,,,9,67
2010,Israel,Harel Skaat,Milim,14,71,,,8,71
2010,Latvia,Aisha,What For?,,,17,11,,
2010,Lithuania,InCulto,East European Funk,,,,,12,44
2010,Malta,Thea Garrett,My Dream,,,12,45,,
2010,Moldova,Sunstroke Project & Olia Tira,Run Away,22,27,10,52,,
2010,Netherlands,Sieneke,Ik Ben Verliefd (Sha-la-lie),,,,,14,29
2010,North Macedonia,Gjoko Taneski,Jas Ja Imam Silata,,,15,37,,
2010,Norway,Didrik Solli-Tangen,My Heart Is Yours,20,35,,,,
2010,Poland,Marcin Mrozinski,Legenda,,,13,44,,
2010,Portugal,Filipa Azevedo,Ha Dias Assim,18,43,4,89,,
2010,Romania,Paula Seling & Ovi,Playing With Fire,3,162,,,4,104
2010,Russia,Peter Nalitch & Friends,Lost And Forgotten,11,90,7,74,,
2010,Serbia,Milan Stankovic,Ovo Je Balkan,13,72,5,79,,
2010,Slovakia,Kristina Pelakova,Horehronie,,,16,24,,
2010,Slovenia,Ansambel Zlindra & Kalamari,Narodnozabavni Rock,,,,,16,6
2010,Spain,Daniel Diges,Algo Pequenito,15,68,,,,
2010,Sweden,Anna Bergendahl,This Is My Life,,,,,11,62
2010,Switzerland,Michael von der Heide,Il Pleut de L'Or,,,,,17,2
2010,Turkey,maNga,We Could Be The Same,2,170,,,1,118
2010,Ukraine,Alyosha,Sweet People,10,108,,,7,77
2010,United Kingdom,Josh,That Sounds Good To Me,25,10,,,,
2011,Albania,Aurela Gace,Feel The Passion,,,14,47,,
2011,Armenia,Emmy,Boom Boom,,,12,54,,
2011,Austria,Nadine Beiler,The Secret Is Love,18,64,,,7,69
2011,Azerbaijan,Ell & Nikki,Running Scared,1,221,2,122,,
2011,Belarus,Anastasiya Vinnikova,I Love Belarus,,,,,14,45
2011,Belgium,Witloof Bay,With Love Baby,,,,,11,53
2011,Bosnia & Herzegovina,Dino Merlin,Love In Rewind,6,125,,,5,109
2011,Bulgaria,Poli Genova,Na Inat,,,,,12,48
2011,Croatia,Daria,Celebrate,,,15,41,,
2011,Cyprus,Christos Mylordos,San Aggelos S'Agapisa,,,,,18,16
2011,Denmark,A Friend In London,New Tomorrow,5,134,,,2,135
2011,Estonia,Getter Jaani,Rockefeller Street,24,44,,,9,60
2011,Finland,Paradise Oskar,Da Da Dam,21,57,3,103,,
2011,France,Amaury Vassili,Sognu,15,82,,,,
2011,Georgia,Eldrine,One More Day,9,110,6,74,,
2011,Germany,Lena,Taken By A Stranger,10,107,,,,
2011,Greece,Loucas Yiorkas feat. Stereo Mike,Watch My Dance,7,120,1,133,,
2011,Hungary,Kati Wolf,What About My Dreams?,22,53,7,72,,
2011,Iceland,Sjonni's Friends,Coming Home,20,61,4,100,,
2011,Ireland,Jedward,Lipstick,8,119,,,8,68
2011,Israel,Dana International,Ding Dong,,,,,15,38
2011,Italy,Raphael Gualazzi,Madness Of Love,2,189,,,,
2011,Latvia,Musiqq,Angel In Disguise,,,,,17,25
2011,Lithuania,Evelina Sasenko,C'est Ma Vie,19,63,5,81,,
2011,Malta,Glen Vella,One Life,,,11,54,,
2011,Moldova,Zdob si Zdub,So Lucky,12,97,,,10,54
2011,Netherlands,3JS,Never Alone,,,,,19,13
2011,North Macedonia,Vlatko Ilievski,Rusinka,,,,,16,36
2011,Norway,Stella Mwangi,Haba Haba,,,17,30,,
2011,Poland,Magdalena Tul,Jestem,,,19,18,,
2011,Portugal,Homens Da Luta,Luta E Alegria,,,18,22,,
2011,Romania,Hotel FM,Change,17,77,,,4,111
2011,Russia,Alexej Vorobjov,Get You,16,77,9,64,,
2011,San Marino,Senit,Stand By,,,16,34,,
2011,Serbia,Nina,Caroban,14,85,8,67,,
2011,Slovakia,TWiiNS,I'm Still Alive,,,,,13,48
2011,Slovenia,Maja Keuc,No One,13,96,,,3,112
2011,Spain,Lucia Perez,Que Me Quiten Lo Bailao - They Can't Take The Fun Away From Me,23,50,,,,
2011,Sweden,Eric Saade,Popular,3,185,,,1,155
2011,Switzerland,Anna Rossinelli,In Love For A While,25,19,10,55,,
2011,Turkey,Yuksek Sadakat,Live It Up,,,13,47,,
2011,Ukraine,Mika Newton,Angel,4,159,,,6,81
2011,United Kingdom,Blue,I Can,11,100,,,,
2012,Albania,Rona Nishliu,Suus,5,146,2,146,,
2012,Austria,Trackshittaz,Woki Mit Deim Popo,,,18,8,,
2012,Azerbaijan,Sabina Babayeva,When The Music Dies,4,150,,,,
2012,Belarus,Litesound,We Are The Heroes,,,,,16,35
2012,Belgium,Iris,Would You?,,,17,16,,
2012,Bosnia & Herzegovina,Maya Sar,Korake ti znam,18,55,,,6,77
2012,Bulgaria,Sofi Marinova,Love Unlimited,,,,,11,45
2012,Croatia,Nina Badric,Nebo,,,,,12,42
2012,Cyprus,Ivi Adamou,La La Love,16,65,7,91,,
2012,Denmark,Soluna Samay,Should've Known Better,23,21,9,63,,
2012,Estonia,Ott Lepland,Kuula,6,120,,,4,100
2012,Finland,Pernilla,Nar Jag Blundar,,,12,41,,
2012,France,Anggun,Echo (You And I),22,21,,,,
2012,Georgia,Anri Jokhadze,I'm A Joker,,,,,14,36
2012,Germany,Roman Lob,Standing Still,8,110,,,,
2012,Greece,Eleftheria Eleftheriou,Aphrodisiac,17,64,4,116,,
2012,Hungary,Compact Disco,Sound Of Our Hearts,24,19,10,52,,
2012,Iceland,Greta Salome & Jonsi,Never Forget,20,46,8,75,,
2012,Ireland,Jedward,Waterline,19,46,6,92,,
2012,Israel,Izabo,Time,,,13,33,,
2012,Italy,Nina Zilli,L'Amore E Femmina (Out Of Love),9,101,,,,
2012,Latvia,Anmary,Beautiful Song,,,16,17,,
2012,Lithuania,Donny Montell,Love Is Blind,14,70,,,3,104
2012,Malta,Kurt Calleja,This Is The Night,21,41,,,7,70
2012,Moldova,Pasha Parfeny,Lautar,11,81,5,100,,
2012,Montenegro,Rambo Amadeus,Euro Neuro,,,15,20,,
2012,Netherlands,Joan Franka,You And Me,,,,,15,35
2012,North Macedonia,Kaliopi,Crno I Belo,13,71,,,9,53
2012,Norway,Tooji,Stay,26,7,,,10,45
2012,Portugal,Filipa Sousa,Vida Minha,,,,,13,39
2012,Romania,Mandinga,Zaleilah,12,71,3,120,,
2012,Russia,Buranovskiye Babushki,Party For Everybody,2,259,1,152,,
2012,San Marino,Valentina Monetta,The Social Network Song (Oh Oh - Uh - Oh Oh),,,14,31,,
2012,Serbia,Zeljko Joksimovic,Nije Ljubav Stvar,3,214,,,2,159
2012,Slovakia,Max Jason Mai,Don't Close Your Eyes,,,,,18,22
2012,Slovenia,Eva Boto,Verjamem,,,,,17,31
2012,Spain,Pastora Soler,Quedate Conmigo (Stay With Me),10,97,,,,
2012,Sweden,Loreen,Euphoria,1,372,,,1,181
2012,Switzerland,Sinplus,Unbreakable,,,11,45,,
2012,Turkey,Can Bonomo,Love Me Back,7,112,,,5,80
2012,Ukraine,Gaitana,Be My Guest,15,65,,,8,64
2012,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,25,12,,,,
2013,Albania,"Adrian Lulgjuraj, Bledar Sejko",Identitet,,,,,15,31
2013,Armenia,Dorians,Lonely Planet,18,41,,,7,69
2013,Austria,Natalia Kelly,Shine,,,14,27,,
2013,Azerbaijan,Farid Mammadov,Hold Me,2,234,,,1,139
2013,Belarus,Alyona Lanskaya,Solayoh,16,48,7,64,,
2013,Belgium,Roberto Bellarosa,Love Kills,12,71,5,75,,
2013,Bulgaria,"Elitsa Todorova, Stoyan Yankulov",Samo Shampioni (Only Champions),,,,,12,45
2013,Croatia,Klapa s mora,Mizerja,,,13,38,,
2013,Cyprus,Despina Olympiou,An Me Thimasai,,,15,11,,
2013,Denmark,Emmelie de Forest,Only Teardrops,1,281,1,167,,
2013,Estonia,Birgit,Et Uus Saaks Alguse,20,19,10,52,,
2013,Finland,Krista Siegfrids,Marry Me,24,13,,,9,64
2013,France,Amandine Bourgeois,L'enfer Et Moi,23,14,,,,
2013,Georgia,Nodi Tatishvili & Sophie Gelovani,Waterfall,15,50,,,10,63
2013,Germany,Cascada,Glorious,21,18,,,,
2013,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,6,152,,,2,121
2013,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),10,84,,,8,66
2013,Iceland,Eythor Ingi,Eg A Lif,17,47,,,6,72
2013,Ireland,Ryan Dolan,Only Love Survives,26,5,8,54,,
